,LOC,GEN.x,RKM.x,GenRKM.x,LAT,LON,Type,GEN.y,RKM.y,GenRKM.y,Route,Entrance_Exit,color,check,Route_v2
9,AntiochBr09,AntiochBridge,86.941,86.948,38.02095,-121.751611,JSATS,AntiochBridge,86.941,86.948,Estuary,exit,blue,#000000,Estuary Exit
10,AntiochBr13,AntiochBridge,86.943,86.948,38.023165,-121.751621,JSATS,AntiochBridge,86.943,86.948,Estuary,exit,blue,#000000,Estuary Exit
11,AntiochBr15,AntiochBridge,86.944,86.948,38.024255,-121.751629,JSATS,AntiochBridge,86.944,86.948,Estuary,exit,blue,#000000,Estuary Exit
12,AntiochBr17,AntiochBridge,86.945,86.948,38.025371,-121.751626,JSATS,AntiochBridge,86.945,86.948,Estuary,exit,blue,#000000,Estuary Exit
13,AntiochBr20,AntiochBridge,86.948,86.948,38.028459,-121.75183,JSATS,AntiochBridge,86.948,86.948,Estuary,exit,blue,#000000,Estuary Exit
162,AntiochBr19,AntiochBridge,86.947,86.948,38.027212,-121.751816,JSATS,AntiochBridge,86.947,86.948,Estuary,exit,blue,#000000,Estuary Exit
177,AntiochBr11,AntiochBridge,86.942,86.948,38.02205,-121.751612,JSATS,AntiochBridge,86.942,86.948,Estuary,exit,blue,#000000,Estuary Exit
178,AntiochBr18,AntiochBridge,86.946,86.948,38.026202,-121.751644,JSATS,AntiochBridge,86.946,86.948,Estuary,exit,blue,#000000,Estuary Exit
19,Benicia01,BeniciaW,52.041,52.048,38.04494,-122.12695,JSATS,BeniciaW,52.041,52.048,Estuary,NA,NA,#000000,Estuary Exit
20,Benicia02,BeniciaW,52.042,52.048,38.04376667,-122.12595,JSATS,BeniciaW,52.042,52.048,Estuary,NA,NA,#000000,Estuary Exit
21,Benicia04,BeniciaW,52.044,52.048,38.04123333,-122.1238167,JSATS,BeniciaW,52.044,52.048,Estuary,NA,NA,#000000,Estuary Exit
22,Benicia05,BeniciaW,52.045,52.048,38.03994,-122.12301,JSATS,BeniciaW,52.045,52.048,Estuary,NA,NA,#000000,Estuary Exit
23,Benicia06,BeniciaW,52.046,52.048,38.03896,-122.12192,JSATS,BeniciaW,52.046,52.048,Estuary,NA,NA,#000000,Estuary Exit
24,Benicia07,BeniciaW,52.047,52.048,38.03761667,-122.1210833,JSATS,BeniciaW,52.047,52.048,Estuary,NA,NA,#000000,Estuary Exit
25,Benicia08,BeniciaW,52.048,52.048,38.03645,-122.1201,JSATS,BeniciaW,52.048,52.048,Estuary,NA,NA,#000000,Estuary Exit
127,Benicia03,BeniciaW,52.043,52.048,38.04243333,-122.1250167,JSATS,BeniciaW,52.043,52.048,Estuary,NA,NA,#000000,Estuary Exit
