"","LAT","LON","Type"
"1",40.593826,-122.398363,"JSATS"
"2",39.10239,-121.758801,"JSATS"
"3",39.10239,-121.758801,"JSATS"
"4",39.10239,-121.758801,"JSATS"
"5",39.10239,-121.758801,"JSATS"
"6",39.10239,-121.758801,"JSATS"
"7",40.593826,-122.398363,"JSATS"
"8",40.593826,-122.398363,"JSATS"
"9",40.593826,-122.398363,"JSATS"
"10",40.593826,-122.398363,"JSATS"
"11",40.537579,-122.357238,"JSATS"
"12",40.537579,-122.357238,"JSATS"
"13",40.054792,-121.967737,"JSATS"
"14",40.054792,-122.032103,"JSATS"
"15",40.054792,-121.967737,"JSATS"
"16",40.054792,-122.032103,"JSATS"
"17",40.054792,-122.032103,"JSATS"
"18",38.636343,-121.264235,"JSATS"
"19",38.636343,-121.264235,"JSATS"
"20",38.636343,-121.264235,"JSATS"
"21",40.153043,-122.202188,"JSATS"
"22",39.10239,-121.758801,"JSATS"
"23",39.10239,-121.758801,"JSATS"
"24",39.10239,-121.758801,"JSATS"
"25",39.10239,-121.758801,"JSATS"
"26",39.10239,-121.758801,"JSATS"
"27",39.356356,-121.634895,"JSATS"
"28",39.356356,-121.634895,"JSATS"
"29",39.057334,-121.610655,"JSATS"
"30",39.057334,-121.610655,"JSATS"
"31",40.398136,-122.145295,"JSATS"
"32",40.398136,-122.145295,"JSATS"
"33",40.398136,-122.145295,"JSATS"
"34",40.398136,-122.145295,"JSATS"
"35",40.398136,-122.145295,"JSATS"
"36",40.398136,-122.145295,"JSATS"
"37",40.398136,-122.145295,"JSATS"
"38",38.585627,-121.506439,"JSATS"
"39",38.585627,-121.506439,"JSATS"
"40",38.585627,-121.506439,"JSATS"
"41",38.585627,-121.506439,"JSATS"
"42",40.398136,-122.145295,"JSATS"
"43",40.398136,-122.145295,"JSATS"
"44",40.398136,-122.145295,"JSATS"
"45",40.398136,-122.145295,"JSATS"
"46",40.398136,-122.145295,"JSATS"
"47",40.398136,-122.145295,"JSATS"
"48",40.398136,-122.145295,"JSATS"
"49",38.585627,-121.506439,"JSATS"
"50",38.585627,-121.506439,"JSATS"
"51",38.585627,-121.506439,"JSATS"
"52",38.585627,-121.506439,"JSATS"
"53",38.37524,-121.52383,"JSATS"
"54",39.024323,-121.821869,"JSATS"
"55",39.024323,-121.821869,"JSATS"
"56",39.024323,-121.821869,"JSATS"
"57",40.39,-122.14,"Vemco"
"58",40.31,-122.18,"Vemco"
"59",39.75,-121.99,"Vemco"
"60",39.46,-121.99,"Vemco"
"61",40.31,-122.18,"Vemco"
"62",39.46,-121.99,"Vemco"
"63",39.75,-121.99,"Vemco"
"64",39.46,-121.99,"Vemco"
"65",40.31,-122.18,"Vemco"
"66",39.75,-121.99,"Vemco"
"67",40.31,-122.18,"Vemco"
"68",39.46,-121.99,"Vemco"
"69",39.75,-121.99,"Vemco"
"70",40.31,-122.18,"Vemco"
"71",39.025019,-121.822511,"Vemco"
"72",38.762324,-121.651904,"Vemco"
"73",38.7821,-121.615,"Vemco"
"74",38.677746,-121.644409,"Vemco"
"75",38.67762,-121.64416,"Vemco"
"76",38.67762,-121.64416,"Vemco"
"77",38.48826,-121.618805,"Vemco"
"78",38.48826,-121.618805,"Vemco"
