,Release.Location,LAT,LON,Year,Run,Type,Source,Study,link
16,BattleCk_CNFH,40.398136,-122.145295,2013,Fall,JSAT,CM,"Zeug, S. C., R. Null, A. Brodsky, M. Johnston, and A. J. Ammann. 2020. Effect of Release Timing on Apparent Survival of Juvenile Fall Run Chinook Salmon from Coleman National Fish Hatchery. Environmental Biology of Fishes ",https://www.researchgate.net/publication/340981293_Effect_of_release_timing_on_apparent_survival_of_juvenile_fall_run_Chinook_Salmon_from_Coleman_National_Fish_Hatchery
17,Caldwell Park_Rel,40.593826,-122.398363,2013,Winter,JSAT,CM,"Hassrick, J. L., A. J. Ammann, R. W. Perry, S. N. John, and M. E. Daniels. 2022. Factors Affecting Spatiotemporal Variation in Survival of Endangered Winter-Run Chinook Salmon Out-Migrating from the Sacramento River. North American Journal of Fisheries Management ",https://doi.org/10.1002/nafm.10748
18,FR_Boyds_Rel,39.057334,-121.610655,2013,Spring,JSAT,CM,Feather River Spring-run Chinook Acoustic Tagging Report 2013-2015 DRAFT,NA
19,FR_Gridley_Rel,39.356356,-121.634895,2013,Spring,JSAT,CM,Feather River Spring-run Chinook Acoustic Tagging Report 2013-2015 DRAFT,NA
22,Tisdale Release,39.024323,-121.821869,2013,Unknown,JSAT,CM,"Chapman, E. D., G. P. Singer, S. Hayes, A, Ammann, J. Merz, S. Zueg, J. Hassrick, R. Null, R. Kurt, J. Kindopp, and A. P. Klimley. 2015. Evaluating the effects of release strategy on movement and survival of fall and spring run Chinook salmon tagged with JSATS transmitters in the Sacramento-San Joaquin Delta. Interagency Ecolicigal Program Workshop, Folsom, CA",NA
24,Caldwell Park_Rel,40.593826,-122.398363,2014,Winter,JSAT,CM,"Hassrick, J. L., A. J. Ammann, R. W. Perry, S. N. John, and M. E. Daniels. 2022. Factors Affecting Spatiotemporal Variation in Survival of Endangered Winter-Run Chinook Salmon Out-Migrating from the Sacramento River. North American Journal of Fisheries Management",https://doi.org/10.1002/nafm.10748
25,Caldwell Park_Rel,40.593826,-122.398363,2015,Winter,JSAT,CM,"Hassrick, J. L., A. J. Ammann, R. W. Perry, S. N. John, and M. E. Daniels. 2022. Factors Affecting Spatiotemporal Variation in Survival of Endangered Winter-Run Chinook Salmon Out-Migrating from the Sacramento River. North American Journal of Fisheries Management ",https://doi.org/10.1002/nafm.10748
26,Hood_Rel,38.37524,-121.52383,2015,Spring,JSAT,CM,"Singer, G. P., E. D. Chapman, A. J. Ammann, A. P. Klimley, A. L. Rypel, and N. A. Fangue. 2020. Historic Drought Influences Outmigration Dynamics of Juvenile Fall and Spring-Run Chinook Salmon. Environmental Biology of Fishes ",https://doi.org/10.1007/s10641-020-00975-8
27,SutterBypass_Weir2_RST_Rel,39.10239,-121.758801,2015,Spring,JSAT,CM,"Cordoleani, F., J. Notch, A. S. McHuron, A. J. Ammann, and C. J. Michel. 2018. Movement and Survival of Wild Chinook Salmon Smolts from Butte Creek During Their Out-Migration to the Ocean: Comparison of a Dry Year versus a Wet Year. Transactions of the American Fisheries Society ",https://doi.org/10.1002/tafs.10008
28,AR_Sunrise_Ramp_Rel,38.636343,-121.264235,2016,Fall,JSAT,CM,NA,NA
