"","GEN","LAT","LON","Year","Type","study"
"1","I_80_1",38.57309,-121.58298,"2012","Vemco","YoloAce"
"2","Lisbon",38.476309,-121.588685,"2012","Vemco","YoloAce"
"3","Rstr",38.353472,-121.642931,"2012","Vemco","YoloAce"
"4","Base_TD",38.29072,-121.66068,"2012","Vemco","YoloAce"
"5","BC_joint",38.230671,-121.673856,"2012","Vemco","YoloAce"
"6","BC_joint",38.230739,-121.676042,"2012","Vemco","YoloAce"
"7","Miner",38.2369,-121.66538,"2012","Vemco","YoloAce"
"8","Sutter",38.3286,-121.5778,"2012","Vemco","YoloAce"
"9","RM80_5",38.77539,-121.63181,"2012","Vemco","YoloAce"
"10","Georgiana",38.23725,-121.5176,"2012","Vemco","YoloAce"
"11","RM71",38.68499,-121.63318,"2012","Vemco","YoloAce"
"12","RM88",38.78796,-121.69355,"2012","Vemco","YoloAce"
"13","RM71",38.68489,-121.63389,"2012","Vemco","YoloAce"
"14","Steamboat",38.28498,-121.5868,"2012","Vemco","YoloAce"
"15","UpperMiner",38.29174,-121.63097,"2012","Vemco","YoloAce"
"16","BaseSteamboat",38.18317,-121.65792,"2012","Vemco","YoloAce"
"17","RM61",38.60357,-121.52004,"2012","Vemco","YoloAce"
"18","RM88",38.78797,-121.69311,"2012","Vemco","YoloAce"
"19","SacMouth",38.17392,-121.6483,"2012","Vemco","YoloAce"
"20","Chipps",38.047892,-121.92957,"2012","Vemco","YoloAce"
"21","Chipps",38.047892,-121.92957,"2012","Vemco","YoloAce"
"22","Chipps",38.046635,-121.931456,"2012","Vemco","YoloAce"
"23","Chipps",38.050009,-121.927605,"2012","Vemco","YoloAce"
"24","Chipps",38.045968,-121.931987,"2012","Vemco","YoloAce"
"25","Chipps",38.050009,-121.927605,"2012","Vemco","YoloAce"
"26","Chipps",38.048358,-121.932802,"2012","Vemco","YoloAce"
"27","Chipps",38.048358,-121.932802,"2012","Vemco","YoloAce"
"28","Chipps",38.046874,-121.932608,"2012","Vemco","YoloAce"
"29","Chipps",38.050975,-121.930688,"2012","Vemco","YoloAce"
"30","Chipps",38.046874,-121.932608,"2012","Vemco","YoloAce"
"31","Chipps",38.050061,-121.932114,"2012","Vemco","YoloAce"
"32","I_80_1",38.57309,-121.58298,"2013","Vemco","YoloAce"
"33","Lisbon",38.476309,-121.588685,"2013","Vemco","YoloAce"
"34","Rstr",38.353472,-121.642931,"2013","Vemco","YoloAce"
"35","Base_TD",38.29072,-121.66068,"2013","Vemco","YoloAce"
"36","BC_joint",38.230671,-121.673856,"2013","Vemco","YoloAce"
"37","BC_joint",38.230739,-121.676042,"2013","Vemco","YoloAce"
"38","BC_joint",38.48826,-121.618805,"2013","Vemco","YoloAce"
"39","BC_joint",38.48826,-121.618805,"2013","Vemco","YoloAce"
"40","KLB",38.80235,-121.727916,"2013","Vemco","YoloAce"
"41","KLB",38.80226,-121.72005,"2013","Vemco","YoloAce"
"42","MS01",38.80007,-121.72071,"2013","Vemco","YoloAce"
"43","MS01",38.80009,-121.69776,"2013","Vemco","YoloAce"
"44","MS01",38.79976,-121.69728,"2013","Vemco","YoloAce"
"45","MS01",38.79974,-121.69765,"2013","Vemco","YoloAce"
