GEN,LAT,LON,Year,Type,study
1A,38.42108,-121.52695,2016,Vemco,YBUS
2A,38.39487,-121.51367,2016,Vemco,YBUS
3A,38.36158,-121.52232,2016,Vemco,YBUS
5A,38.33413,-121.56982,2016,Vemco,YBUS
Above_Hood,38.36794,-121.5223,2015,JSATS,JSATS
Above_Hood,38.36805,-121.52071,2015,JSATS,JSATS
Abv Grimes,39.0962,-121.8962833,2013,JSATS,JSATS
Abv_rstr,38.35338375,-121.6431812,2016,Vemco,YBUS
Abv_swanston_180,38.5924755,-121.5867721,2016,Vemco,YBUS
Abv_WoodsonBr,39.91819,-122.0861,2012,JSATS,JSATS
Abv_WoodsonBr,39.91819,-122.0861,2013,JSATS,JSATS
Abv_WoodsonBr,39.91819,-122.0861,2014,JSATS,JSATS
Abv_WoodsonBr,39.91819,-122.0861,2015,JSATS,JSATS
Abv_WoodsonBr,39.91819,-122.0861,2016,JSATS,JSATS
Abv_WoodsonBr,39.91819,-122.0861,2017,JSATS,JSATS
AbvColusaBr,39.22117,-122.00654,2013,JSATS,JSATS
AbvColusaBr,39.22117,-122.00654,2014,JSATS,JSATS
AbvColusaBr,39.22117,-122.00654,2015,JSATS,JSATS
AbvColusaBr,39.22117,-122.00654,2016,JSATS,JSATS
AbvColusaBr,39.22117,-122.00654,2017,JSATS,JSATS
AbvTisdale,39.0364,-121.82918,2013,JSATS,JSATS
AbvTisdale,39.0364,-121.82918,2014,JSATS,JSATS
AbvTisdale,39.0364,-121.82918,2015,JSATS,JSATS
AbvTisdale,39.0366,-121.829,2015,JSATS,JSATS
AbvTisdale,39.0366,-121.829,2016,JSATS,JSATS
AbvTisdale,39.0364,-121.82918,2017,JSATS,JSATS
Antioch,38.02076,-121.82018,2013,JSATS,JSATS
Antioch_Br,38.019722,-121.750277,2007,Vemco,CM
Antioch_Br,38.019722,-121.750277,2008,Vemco,CM
AntiochBridge,38.026202,-121.751644,2013,JSATS,JSATS
AntiochBridge,38.023165,-121.751621,2014,JSATS,JSATS
AntiochBridge,38.025371,-121.751626,2015,JSATS,JSATS
AntiochBridge,38.028459,-121.75183,2016,JSATS,JSATS
AntiochBridge,38.028459,-121.75183,2017,JSATS,JSATS
AR_Downstream_WattAve,38.56572,-121.39069,2016,JSATS,JSATS
AR_Downstream_WattAve,38.56572,-121.39069,2017,JSATS,JSATS
AR_Mouth,38.59999,-121.50684,2016,JSATS,JSATS
AR_Mouth,38.59999,-121.50684,2017,JSATS,JSATS
AR_RanchoCordova,38.61468,-121.30276,2016,JSATS,JSATS
AR_RanchoCordova,38.61468,-121.30276,2017,JSATS,JSATS
AR_Upstream_Hwy80,38.58339,-121.44109,2016,JSATS,JSATS
Base_TD,38.29072,-121.66068,2012,Vemco,YoloAce
Base_TD,38.29072,-121.66068,2013,Vemco,YoloAce
BaseSteamboat,38.18317,-121.65792,2012,Vemco,YoloAce
BaseSutterSteam,38.18312,-121.65181,2013,JSATS,JSATS
BaseSutterSteam,38.18312,-121.65181,2014,JSATS,JSATS
BaseSutterSteam,38.18312,-121.65181,2015,JSATS,JSATS
BaseSutterSteam,38.18312,-121.65181,2016,JSATS,JSATS
BaseSutterSteam,38.18312,-121.65181,2017,JSATS,JSATS
BattleCk1,40.39827,-122.14959,2016,JSATS,JSATS
BattleCk1,40.39827,-122.14959,2017,JSATS,JSATS
BattleCk10,40.37568852,-122.1691084,2007,Vemco,CM
BattleCk4,40.36007,-122.1735,2017,JSATS,JSATS
BC_Beach,38.88226,-121.614,2013,JSATS,JSATS
BC_Beach,38.88226,-121.614,2014,JSATS,JSATS
BC_joint,38.230671,-121.673856,2012,Vemco,YoloAce
BC_joint,38.230671,-121.673856,2013,Vemco,YoloAce
Benicia,38.04494,-122.1269,2012,JSATS,JSATS
Benicia,38.04494,-122.1269,2013,JSATS,JSATS
Benicia,38.04494,-122.1269,2014,JSATS,JSATS
Benicia,38.04494,-122.1269,2015,JSATS,JSATS
Benicia,38.04494,-122.1269,2016,JSATS,JSATS
Benicia,38.04494,-122.1269,2017,JSATS,JSATS
Benicia Bridge,38.04123333,-122.1238167,2007,Vemco,CM
Benicia Bridge,38.04123333,-122.1238167,2008,Vemco,CM
Benicia Bridge,38.04123333,-122.1238167,2009,Vemco,CM
Benicia Bridge,38.04123333,-122.1238167,2010,Vemco,CM
Benicia Bridge,38.04123333,-122.1238167,2011,Vemco,CM
BF.1,38.45045,-121.5017167,2016,Vemco,YBUS
Blw_ClearCr,40.49729,-122.3573,2013,JSATS,JSATS
Blw_ClearCr,40.49729,-122.3573,2014,JSATS,JSATS
Blw_ClearCr,40.49729,-122.3573,2015,JSATS,JSATS
Blw_ClearCr,40.49729,-122.3573,2016,JSATS,JSATS
Blw_Cypress,40.56015,-122.3742,2013,JSATS,JSATS
