Release Location,LAT,LON,Year,Run,Type,Source,Study,link
SacButteCityRamp,39.46,-121.99,2007,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,39.75,-121.99,2007,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,40.31,-122.18,2007,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,39.46,-121.99,2008,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,39.75,-121.99,2008,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,40.31,-122.18,2008,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,39.46,-121.99,2009,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,39.75,-121.99,2009,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,40.31,-122.18,2009,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,39.46,-121.99,2010,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
