Release Location,Year,Run,Lat ,Lon,Study.TG,Study.PG,Study,link
BtlCkCNFHWeir,2007,Late-fall,40.3981,-122.145,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,2008,Late-fall,40.3171,-122.19,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,2008,Late-fall,39.74273,-121.989224,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,2008,Late-fall,39.4569,-121.995,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,2009,Late-fall,40.3171,-122.19,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,2009,Late-fall,39.74273,-121.989224,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,2009,Late-fall,39.4569,-121.995,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
BtlCkCNFHWeir,2010,Late-fall,40.3981,-122.145,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,2010,Late-fall,40.3171,-122.19,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,2010,Late-fall,39.4569,-121.995,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,2010,Late-fall,39.74273,-121.989224,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
BtlCkCNFHWeir,2011,Late-fall,40.3981,-122.145,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
