FishID,Year,Release_Location,Riverkm,Release_Group_SAIL,origin,Group,time.rel,travel.time,tt.grp,StudyID,TagID,Weight,Length,Length_Type,Route,Trucking_distance_rkm,Temperature_C
LFC0325,2007,BtlCkAbatPnd,534.36,Upper Sacramento River,hatchery,late-fall,1/31/07 14:50,15.37766204,Chips,CALFED-LFC-01,1334,42.7,160,FL,SacRSlough,0,8.94
LFC0313,2007,BtlCkAbatPnd,534.36,Upper Sacramento River,hatchery,late-fall,1/31/07 14:50,16.22008102,Chips,CALFED-LFC-01,1336,44,161,FL,SacR,0,8.94
LFC0348,2007,BtlCkAbatPnd,534.36,Upper Sacramento River,hatchery,late-fall,2/2/07 12:04,22.20266204,Chips,CALFED-LFC-01,1301,49.3,169,FL,SacR,0,8.81
LFC0346,2007,BtlCkAbatPnd,534.36,Upper Sacramento River,hatchery,late-fall,2/2/07 12:04,12.32972222,Chips,CALFED-LFC-01,1299,49,170,FL,SacR,0,8.81
LFC0351,2007,BtlCkAbatPnd,534.36,Upper Sacramento River,hatchery,late-fall,2/2/07 12:04,16.12559028,Chips,CALFED-LFC-01,1376,51.5,171,FL,CenDel,0,8.81
LFC0635,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,34.69981481,Chips,CALFED-LFC-02,15323,38,153,FL,SacRSlough,16.866,11.29
LFC0616,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,24.53872685,Chips,CALFED-LFC-02,15304,53.7,161,FL,SacR,16.866,11.29
LFC0640,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,38.89753472,Chips,CALFED-LFC-02,15328,49.9,163,FL,CenDel,16.866,11.29
LFC0623,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,34.260625,Chips,CALFED-LFC-02,15311,47.1,165,FL,SacRSlough,16.866,11.29
LFC0627,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,61.25293981,Chips,CALFED-LFC-02,15315,49.8,168,FL,SacR,16.866,11.29
LFC0655,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,17.2240162,Chips,CALFED-LFC-02,15343,54.9,172,FL,SacR,16.866,11.29
LFC0628,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,29.1734375,Chips,CALFED-LFC-02,15316,56.5,175,FL,SacR,16.866,11.29
LFC0654,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,33.21688657,Chips,CALFED-LFC-02,15342,63.5,176,FL,SacRSlough,16.866,11.29
LFC0653,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,23.37422454,Chips,CALFED-LFC-02,15341,75,180,FL,SacR,16.866,11.29
LFC0649,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,33.70003472,Chips,CALFED-LFC-02,15337,66.4,183,FL,SacRSlough,16.866,11.29
LFC0614,2008,SacJellyRamp,517.5,Upper Sacramento River,hatchery,late-fall,12/7/07 17:30,24.39206019,Chips,CALFED-LFC-02,15302,68.8,184,FL,"SacRSlough, CenDel",16.866,11.29
LFC0741,2008,SacButteCityRamp,363.46,Middle Sacramento River,hatchery,late-fall,12/7/07 17:38,12.08914352,Chips,CALFED-LFC-02,15123,31.8,149,FL,SacRSlough,170.9,11.43
LFC0760,2008,SacButteCityRamp,363.46,Middle Sacramento River,hatchery,late-fall,12/7/07 17:38,34.24225694,Chips,CALFED-LFC-02,15142,37.2,150,FL,SacR,170.9,11.43
LFC0724,2008,SacButteCityRamp,363.46,Middle Sacramento River,hatchery,late-fall,12/7/07 17:38,19.71725694,Chips,CALFED-LFC-02,15106,38.5,153,FL,SacR,170.9,11.43
LFC0727,2008,SacButteCityRamp,363.46,Middle Sacramento River,hatchery,late-fall,12/7/07 17:38,14.27994213,Chips,CALFED-LFC-02,15109,37.4,153,FL,SacR,170.9,11.43
LFC0728,2008,SacButteCityRamp,363.46,Middle Sacramento River,hatchery,late-fall,12/7/07 17:38,67.71568287,Chips,CALFED-LFC-02,15110,45.2,162,FL,SacRSlough,170.9,11.43
LFC0738,2008,SacButteCityRamp,363.46,Middle Sacramento River,hatchery,late-fall,12/7/07 17:38,16.46694444,Chips,CALFED-LFC-02,15120,44,165,FL,SacR,170.9,11.43
LFC0747,2008,SacButteCityRamp,363.46,Middle Sacramento River,hatchery,late-fall,12/7/07 17:38,26.02927083,Chips,CALFED-LFC-02,15129,50.7,170,FL,"SacRSlough, CenDel",170.9,11.43
LFC0748,2008,SacButteCityRamp,363.46,Middle Sacramento River,hatchery,late-fall,12/7/07 17:38,32.23446759,Chips,CALFED-LFC-02,15130,60.6,181,FL,SacR,170.9,11.43
LFC0746,2008,SacButteCityRamp,363.46,Middle Sacramento River,hatchery,late-fall,12/7/07 17:38,22.30640046,Chips,CALFED-LFC-02,15128,70.8,185,FL,SacRSlough,170.9,11.43
