"","TagID","Release","RelLoc","time","Release_Group_SAIL","Year","Group","origin"
"1",36186,1,"TISDALE",2016-02-24 00:54:58,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"2",36341,1,"TISDALE",2016-02-23 15:17:28,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"3",36342,1,"TISDALE",2016-03-06 05:22:23,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"4",36344,1,"TISDALE",2016-02-23 09:29:03,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"5",36345,1,"TISDALE",2016-02-23 08:00:57,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"6",36346,1,"TISDALE",2016-02-24 03:29:43,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"7",36347,1,"TISDALE",2016-02-23 10:07:56,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"8",36351,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"9",36352,1,"TISDALE",2016-02-23 10:16:19,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"10",36353,1,"TISDALE",2016-02-24 04:57:24,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"11",36354,1,"TISDALE",2016-02-23 13:57:34,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"12",36355,1,"TISDALE",2016-02-23 14:07:25,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"13",36358,1,"TISDALE",2016-02-23 07:39:07,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"14",36359,1,"TISDALE",2016-02-23 13:32:25,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"15",36360,1,"TISDALE",2016-02-23 15:26:24,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"16",36361,1,"TISDALE",2016-02-23 11:10:01,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"17",36362,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"18",36364,1,"TISDALE",2016-02-23 14:05:43,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"19",36366,1,"TISDALE",2016-02-25 09:31:17,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"20",36367,1,"TISDALE",2016-03-07 01:08:26,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"21",36368,1,"TISDALE",2016-02-25 03:52:07,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"22",36369,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"23",36370,1,"TISDALE",2016-02-29 15:17:35,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"24",36371,1,"TISDALE",2016-02-27 05:05:06,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"25",36372,1,"TISDALE",2016-02-25 05:34:21,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"26",36374,1,"TISDALE",2016-02-23 22:41:28,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"27",36376,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"28",36377,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"29",36379,1,"TISDALE",2016-02-24 16:26:06,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"30",36380,1,"TISDALE",2016-02-23 23:22:12,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"31",36381,1,"TISDALE",2016-02-28 11:03:59,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"32",36382,1,"TISDALE",2016-03-10 00:40:55,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"33",36383,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"34",36384,1,"TISDALE",2016-02-23 08:35:43,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"35",36385,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"36",36387,1,"TISDALE",2016-02-23 05:37:19,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"37",36388,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"38",36389,1,"TISDALE",2016-02-23 11:27:14,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"39",36390,1,"TISDALE",2016-02-23 00:37:50,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"40",36391,1,"TISDALE",2016-02-25 06:40:30,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"41",36392,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"42",36393,1,"TISDALE",2016-02-24 09:33:54,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"43",36394,1,"TISDALE",2016-02-23 13:57:18,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"44",36395,1,"TISDALE",2016-02-23 07:21:02,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"45",36396,1,"TISDALE",2016-02-24 03:54:22,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"46",36397,1,"TISDALE",2016-02-23 08:44:59,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"47",36398,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"48",36400,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"49",36401,1,"TISDALE",NA,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"50",36403,2,"TISDALE",2016-03-08 07:50:40,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"51",36405,3,"TISDALE",2016-03-13 08:38:54,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"52",36406,3,"TISDALE",2016-03-12 22:05:50,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"53",36407,1,"TISDALE",2016-02-23 19:03:35,"Middle Sacramento River",2016,"Late-Fall","hatchery"
"54",36408,3,"TISDALE",2016-03-13 01:08:34,"Middle Sacramento River",2016,"Late-Fall","hatchery"
