"","FishID","TagID","Date_Released","travel_time","wateryear","Run","relRkm","Release_Group","Route"
"1","YBUS160001",36186,"2/21/2016 5:33",6.55150463,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"2","YBUS160002",36341,"2/21/2016 5:33",5.522453704,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"3","YBUS160003",36344,"2/21/2016 5:33",7.437268519,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"4","YBUS160004",36345,"2/21/2016 5:33",7.570625,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"5","YBUS160005",36347,"2/21/2016 5:33",5.573958333,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"6","YBUS160006",36354,"2/21/2016 5:38",7.565104167,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRS"
"7","YBUS160007",36355,"2/21/2016 5:38",9.554189815,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"8","YBUS160008",36358,"2/21/2016 5:38",5.542372685,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"9","YBUS160009",36364,"2/21/2016 16:54",6.938136574,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"10","YBUS160010",36367,"2/21/2016 16:54",19.47418981,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"11","YBUS160011",36371,"2/21/2016 17:02",9.2171875,2016,"Late-fall",222.05585,"Middle Sacramento River","Yolo_Bypass"
"12","YBUS160012",36374,"2/21/2016 17:02",7.077418981,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"13","YBUS160013",36380,"2/21/2016 17:02",6.494143519,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"14","YBUS160014",36384,"2/21/2016 5:33",4.888356481,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRS"
"15","YBUS160015",36387,"2/21/2016 5:33",5.193923611,2016,"Late-fall",222.05585,"Middle Sacramento River","Yolo_Bypass"
"16","YBUS160016",36390,"2/21/2016 5:38",6.47212963,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"17","YBUS160017",36393,"2/21/2016 5:38",8.566979167,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRS"
"18","YBUS160018",36394,"2/21/2016 5:38",5.966793981,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"19","YBUS160019",36396,"2/21/2016 5:38",8.669710648,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"20","YBUS160020",36397,"2/21/2016 5:38",5.488206019,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"21","YBUS160021",36403,"3/6/2016 14:39",3.545671296,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"22","YBUS160022",36405,"3/11/2016 4:02",9.983900463,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"23","YBUS160023",36409,"2/21/2016 16:54",5.99275463,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
"24","YBUS160024",36412,"2/21/2016 16:54",6.503009259,2016,"Late-fall",222.05585,"Middle Sacramento River","Yolo_Bypass"
"25","YBUS160025",36416,"2/21/2016 17:02",6.041111111,2016,"Late-fall",222.05585,"Middle Sacramento River","Yolo_Bypass"
"26","YBUS160026",36420,"2/21/2016 17:02",17.91234954,2016,"Late-fall",222.05585,"Middle Sacramento River","SacRiver"
