,X,TagID,Date_Released,first_stn,last_arrival,last_stn,travel_time,wateryr,relRkm,run,release_location,FishID,Release_Group,Route
350,259675,10969,5/14/2016 7:00,AR_Sunrise_Ramp,5/20/2016 4:24,Chippsw,5.891666667,2016,209.9339,Fall,AR_Sunrise_Ramp,ARF2016-009,American River,SacRiver
358,270349,11989,5/14/2016 7:00,AR_Sunrise_Ramp,5/20/2016 8:00,Chippsw,6.041666667,2016,209.9339,Fall,AR_Sunrise_Ramp,ARF2016-076,American River,SacRiver
352,262462,11029,5/14/2016 7:00,AR_Sunrise_Ramp,5/19/2016 20:19,Chippsw,5.554861111,2016,209.9339,Fall,AR_Sunrise_Ramp,ARF2016-106,American River,SacRiver
75,79867,1573,5/14/2016 7:00,AR_Sunrise_Ramp,5/17/2016 17:06,Chippsw,3.420833333,2016,209.9339,Fall,AR_Sunrise_Ramp,ARF2016-114,American River,SacRiver
345,252742,10903,5/14/2016 7:00,AR_Sunrise_Ramp,5/20/2016 10:02,ChippsE,6.126388889,2016,209.9339,Fall,AR_Sunrise_Ramp,ARF2016-173,American River,SacRS
702,543925,22265,5/24/2017 13:45,AR_Sunrise_Ramp,5/30/2017 22:47,Chippsw,6.376388889,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-005,American River,SacRiver
715,551555,22373,5/24/2017 13:45,AR_Sunrise_Ramp,5/28/2017 5:48,Chippsw,3.66875,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-007,American River,SacRS
537,428974,20186,5/24/2017 13:45,AR_Sunrise_Ramp,5/27/2017 23:59,ChippsE,3.426388889,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-012,American River,SacRiver
590,464869,21555,5/24/2017 13:45,AR_Sunrise_Ramp,5/29/2017 7:34,Chippsw,4.742361111,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-022,American River,SacRiver
540,431463,20197,5/24/2017 13:45,AR_Sunrise_Ramp,5/30/2017 11:20,Chippsw,5.899305556,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-024,American River,SacRiver
683,532014,22139,5/24/2017 13:45,AR_Sunrise_Ramp,5/28/2017 9:35,ChippsE,3.826388889,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-026,American River,SacRiver
706,544968,22301,5/24/2017 13:45,AR_Sunrise_Ramp,5/29/2017 7:39,Chippsw,4.745833333,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-030,American River,SacRiver
714,551318,22371,5/24/2017 13:45,AR_Sunrise_Ramp,5/26/2017 10:42,RioVistaBr,1.872916667,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-040,American River,SacRiver
693,537587,22212,5/24/2017 13:45,AR_Sunrise_Ramp,5/31/2017 1:06,Chippsw,6.472916667,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-045,American River,SacRiver
571,447489,20685,5/24/2017 13:45,AR_Sunrise_Ramp,5/28/2017 8:11,Chippsw,3.768055556,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-047,American River,SacRiver
709,546174,22316,5/24/2017 13:45,AR_Sunrise_Ramp,5/28/2017 7:49,Chippsw,3.752777778,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-049,American River,SacRiver
612,481037,21685,5/24/2017 13:45,AR_Sunrise_Ramp,5/29/2017 17:08,ChippsE,5.140972222,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-050,American River,SacRiver
691,536681,22205,5/24/2017 13:45,AR_Sunrise_Ramp,5/29/2017 7:55,Chippsw,4.756944444,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-051,American River,SacRiver
611,479974,21680,5/24/2017 13:45,AR_Sunrise_Ramp,5/29/2017 8:55,Chippsw,4.798611111,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-054,American River,SacRS
598,469601,21604,5/24/2017 13:45,AR_Sunrise_Ramp,5/28/2017 7:14,Chippsw,3.728472222,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-058,American River,SacRiver
624,486531,21740,5/24/2017 13:45,AR_Sunrise_Ramp,5/31/2017 11:17,AntiochBridge,6.897222222,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-064,American River,SacRiver
595,467500,21596,5/24/2017 13:45,AR_Sunrise_Ramp,5/31/2017 9:41,Chippsw,6.830555556,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-075,American River,SacRiver
589,464602,21554,5/24/2017 13:45,AR_Sunrise_Ramp,5/28/2017 9:07,Chippsw,3.806944444,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-079,American River,SacRS
516,416844,20085,5/24/2017 13:45,AR_Sunrise_Ramp,5/30/2017 21:37,Chippsw,6.327777778,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-081,American River,SacRiver
558,439458,20645,5/24/2017 13:45,AR_Sunrise_Ramp,5/29/2017 9:15,Chippsw,4.8125,2017,209.9339,Fall,AR_Sunrise_Ramp,ARF2017-101,American River,SacRiver
