"","Name_corr","mean_Total_Length"
"1","Base_TD-Base_TD",7158.88528
"2","Base_TD-BaseSteamboat",13654.19174
"3","Base_TD-BC_joint",15000.1024033333
"4","Base_TD-Chipps",44184.1307441667
"5","Base_TD-Georgiana",34081.95469
"6","Base_TD-I_80_1",39727.138
"7","Base_TD-KLB",116546.514575
"8","Base_TD-Lisbon",28880.43745
"9","Base_TD-Miner",8109.7439315
"10","Base_TD-MS01",114745.743725
"11","Base_TD-MS02",111626.8897
"12","Base_TD-MS03",110173.18575
"13","Base_TD-MS04",109367.213175
"14","Base_TD-MS05",108314.28585
"15","Base_TD-MS06",104718.0288
"16","Base_TD-MS07",101549.4861
"17","Base_TD-MS08",94122.7907366667
"18","Base_TD-MS09",90358.75215
"19","Base_TD-MS10",84650.824385
"20","Base_TD-MS11",43887.6052
"21","Base_TD-MS12",64082.1549483333
"22","Base_TD-MS13",42170.329353
"23","Base_TD-MS14",31941.064978
"24","Base_TD-MS15",46210.12844
"25","Base_TD-MS16",19168.3553
"26","Base_TD-RM61",69710.42309
"27","Base_TD-RM71",86695.49517
"28","Base_TD-RM80_5",102290.13355
"29","Base_TD-RM88",112505.91505
"30","Base_TD-Rstr",14320.8039915
"31","Base_TD-SacMouth",15639.83136
"32","Base_TD-Sacramento_Release",123261.47535
"33","Base_TD-Steamboat",27570.36022
"34","Base_TD-Sutter",26019.02068
"35","Base_TD-UpperMiner",16865.483355
"36","Base_TD-Yolo_Release",52706.70799
"37","BaseSteamboat-Base_TD",13654.19174
"38","BaseSteamboat-BaseSteamboat",0
"39","BaseSteamboat-BC_joint",16431.3556633333
"40","BaseSteamboat-Chipps",31500.6981054167
"41","BaseSteamboat-Georgiana",21398.52205
"42","BaseSteamboat-I_80_1",46752.8423
"43","BaseSteamboat-KLB",110995.06755
"44","BaseSteamboat-Lisbon",35906.14176
"45","BaseSteamboat-Miner",7446.165115
"46","BaseSteamboat-MS01",109194.296775
"47","BaseSteamboat-MS02",106075.4427
"48","BaseSteamboat-MS03",104621.7388
"49","BaseSteamboat-MS04",103815.766175
"50","BaseSteamboat-MS05",102762.83885
"51","BaseSteamboat-MS06",99166.5818033333
"52","BaseSteamboat-MS07",95998.0391225
"53","BaseSteamboat-MS08",88571.3437533333
"54","BaseSteamboat-MS09",84807.30516
"55","BaseSteamboat-MS10",79099.377402
