,Name2,Name1,ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length,Name_Og,Name_Og2,Name_corr
1,Location 1,Location 1,1,Location 1 - Location 1,1,1,1,0,Tisdale Weir,Tisdale Weir,Tisdale Weir-Tisdale Weir
2,Location 1,Location 16,832,Location 16 - Location 1,16,1,52,189333.8664,MAL.10b,Tisdale Weir,MAL.10b-Tisdale Weir
3,Location 1,Location 22,1144,Location 22 - Location 1,22,1,52,189465.3114,MAL.14,Tisdale Weir,MAL.14-Tisdale Weir
4,Location 1,Location 29,1508,Location 29 - Location 1,29,1,52,189333.8664,MAL.7a,Tisdale Weir,MAL.7a-Tisdale Weir
5,Location 1,Location 35,1820,Location 35 - Location 1,35,1,52,160664.1683,SACD.1,Tisdale Weir,SACD.1-Tisdale Weir
6,Location 1,Location 41,2132,Location 41 - Location 1,41,1,52,140285.0854,SACU.3,Tisdale Weir,SACU.3-Tisdale Weir
7,Location 1,Location 48,2496,Location 48 - Location 1,48,1,52,155840.5013,STMD.2,Tisdale Weir,STMD.2-Tisdale Weir
8,Location 1,Location 7,364,Location 7 - Location 1,7,1,52,118114.8052,BF.4,Tisdale Weir,BF.4-Tisdale Weir
9,Location 1,Location 2,55,Location 2 - Location 1,2,1,3,58412.92542,Yolo Bypass @ Fremont Weir,Tisdale Weir,Yolo Bypass @ Fremont Weir-Tisdale Weir
10,Location 1,Location 26,1352,Location 26 - Location 1,26,1,52,189119.9914,MAL.4,Tisdale Weir,MAL.4-Tisdale Weir
11,Location 1,Location 32,1664,Location 32 - Location 1,32,1,52,189407.6692,MAL.8b,Tisdale Weir,MAL.8b-Tisdale Weir
12,Location 1,Location 39,2028,Location 39 - Location 1,39,1,52,140171.2706,SACU.1,Tisdale Weir,SACU.1-Tisdale Weir
13,Location 1,Location 10,520,Location 10 - Location 1,10,1,52,149910.3402,GEO.d,Tisdale Weir,GEO.d-Tisdale Weir
14,Location 1,Location 17,884,Location 17 - Location 1,17,1,52,189305.2889,MAL.11a,Tisdale Weir,MAL.11a-Tisdale Weir
15,Location 1,Location 23,1196,Location 23 - Location 1,23,1,52,189445.3173,MAL.17,Tisdale Weir,MAL.17-Tisdale Weir
16,Location 1,Location 3,110,Location 3 - Location 1,3,1,6,63678.19694,Verona,Tisdale Weir,Verona-Tisdale Weir
17,Location 1,Location 36,1872,Location 36 - Location 1,36,1,52,160634.4648,SACD.2,Tisdale Weir,SACD.2-Tisdale Weir
