,Name2,Name1,ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length,Location,Location_Og2,Name_corr
1,Location 1,Location 1,1,Location 1 - Location 1,1,1,1,0,1A,1A,1A-1A
2,Location 1,Location 68,65,Location 1 - Location 68,1,68,65,65634.07906,MAL.6,1A,MAL.6-1A
3,Location 1,Location 56,75,Location 1 - Location 56,1,56,75,65944.26826,MAL.10b,1A,MAL.10b-1A
4,Location 1,Location 87,55,Location 1 - Location 87,1,87,55,59415.42304,SBF.1,1A,SBF.1-1A
5,Location 1,Location 44,105,Location 1 - Location 44,1,44,105,72885.72391,YBUS_I80_180_3,1A,YBUS_I80_180_3-1A
6,Location 1,Location 17,109,Location 1 - Location 17,1,17,109,75170.70391,Abv_swanston_180,1A,Abv_swanston_180-1A
7,Location 1,Location 90,29,Location 1 - Location 90,1,90,29,26506.65037,SBGU.2,1A,SBGU.2-1A
8,Location 1,Location 79,45,Location 1 - Location 79,1,79,45,37165.1203,SACD.3,1A,SACD.3-1A
9,Location 1,Location 20,10,Location 1 - Location 20,1,20,10,5364.612687,BF.1,1A,BF.1-1A
10,Location 1,Location 11,14,Location 1 - Location 11,1,11,14,7432.524825,3C,1A,3C-1A
11,Location 1,Location 67,66,Location 1 - Location 67,1,67,66,65690.43294,MAL.5,1A,MAL.5-1A
12,Location 1,Location 55,71,Location 1 - Location 55,1,55,71,65872.42918,MAL.10a,1A,MAL.10a-1A
13,Location 1,Location 28,39,Location 1 - Location 28,1,28,39,33738.88933,CCH.1-HR2,1A,CCH.1-HR2-1A
14,Location 1,Location 43,106,Location 1 - Location 43,1,43,106,72918.99924,YBUS_I80_180_2,1A,YBUS_I80_180_2-1A
15,Location 1,Location 16,19,Location 1 - Location 16,1,16,19,12815.79306,5D,1A,5D-1A
16,Location 1,Location 9,12,Location 1 - Location 9,1,9,12,7317.595589,3A,1A,3A-1A
17,Location 1,Location 78,46,Location 1 - Location 78,1,78,46,37251.51367,SACD.2,1A,SACD.2-1A
18,Location 1,Location 2,2,Location 1 - Location 2,1,2,2,0,1B,1A,1B-1A
19,Location 1,Location 109,112,Location 1 - Location 109,1,109,112,123396.0498,Tisdale Weir,1A,Tisdale Weir-1A
20,Location 1,Location 66,67,Location 1 - Location 66,1,66,67,65717.70922,MAL.4,1A,MAL.4-1A
21,Location 1,Location 54,69,Location 1 - Location 54,1,54,69,65785.81318,MAL.1,1A,MAL.1-1A
22,Location 1,Location 97,62,Location 1 - Location 97,1,97,62,65062.79074,St61,1A,St61-1A
23,Location 1,Location 42,90,Location 1 - Location 42,1,42,90,71872.19573,YBUS_I80_180_18,1A,YBUS_I80_180_18-1A
