,FishID,StudyID,travel.time,tt.grp,RKM,Release_Group_SAIL,Year,Length,Weight,River_temp,Transport_distance,origin,Group,Route
1,ARF2016-009,Nimbus_Fall_2016,5.00821919,Chips,206.041,Tidal Delta,2016,98,10.2,13.41094771,3,hatchery,Fall,SacR
2,ARF2016-076,Nimbus_Fall_2016,6.038989572,Chips,206.041,Tidal Delta,2016,93,9.4,13.41094771,3,hatchery,Fall,SacR
3,ARF2016-106,Nimbus_Fall_2016,5.546001447,Chips,206.041,Tidal Delta,2016,93,9.5,13.41094771,3,hatchery,Fall,SacR
4,ARF2016-114,Nimbus_Fall_2016,3.421472361,Chips,206.041,Tidal Delta,2016,96,10.1,13.41094771,3,hatchery,Fall,SacR
5,ARF2016-173,Nimbus_Fall_2016,6.12675515,Chips,206.041,Tidal Delta,2016,85,7.3,13.41094771,3,hatchery,Fall,SacRSlough
6,ARF2017-005,Nimbus_Fall_2017,5.938021516,Chips,206.041,Tidal Delta,2017,85,6.8,13.5,3,hatchery,Fall,SacR
7,ARF2017-007,Nimbus_Fall_2017,2.857594329,Chips,206.041,Tidal Delta,2017,86,6.9,13.5,3,hatchery,Fall,SacRSlough
8,ARF2017-012,Nimbus_Fall_2017,3.426394931,Chips,206.041,Tidal Delta,2017,85,7.1,13.5,3,hatchery,Fall,SacR
9,ARF2017-016,Nimbus_Fall_2017,3.809855984,Chips,206.041,Tidal Delta,2017,89,8,13.5,3,hatchery,Fall,SacR
10,ARF2017-022,Nimbus_Fall_2017,3.917853171,Chips,206.041,Tidal Delta,2017,85,6.4,13.5,3,hatchery,Fall,SacR
11,ARF2017-024,Nimbus_Fall_2017,5.89481265,Chips,206.041,Tidal Delta,2017,86,7.1,13.5,3,hatchery,Fall,SacR
12,ARF2017-026,Nimbus_Fall_2017,3.826625648,Chips,206.041,Tidal Delta,2017,88,7.4,13.5,3,hatchery,Fall,SacR
13,ARF2017-030,Nimbus_Fall_2017,3.952027882,Chips,206.041,Tidal Delta,2017,82,6.3,13.5,3,hatchery,Fall,SacR
14,ARF2017-045,Nimbus_Fall_2017,6.46674963,Chips,206.041,Tidal Delta,2017,84,6.6,13.5,3,hatchery,Fall,SacR
15,ARF2017-047,Nimbus_Fall_2017,2.865607118,Chips,206.041,Tidal Delta,2017,95,9.2,13.5,3,hatchery,Fall,SacR
16,ARF2017-049,Nimbus_Fall_2017,2.92198081,Chips,206.041,Tidal Delta,2017,86,6.8,13.5,3,hatchery,Fall,SacR
17,ARF2017-050,Nimbus_Fall_2017,5.137700845,Chips,206.041,Tidal Delta,2017,88,7.4,13.5,3,hatchery,Fall,SacR
18,ARF2017-051,Nimbus_Fall_2017,3.934202407,Chips,206.041,Tidal Delta,2017,85,6.5,13.5,3,hatchery,Fall,SacR
19,ARF2017-054,Nimbus_Fall_2017,3.900497616,Chips,206.041,Tidal Delta,2017,80,6,13.5,3,hatchery,Fall,SacRSlough
20,ARF2017-058,Nimbus_Fall_2017,2.862026725,Chips,206.041,Tidal Delta,2017,83,6,13.5,3,hatchery,Fall,SacR
21,ARF2017-064,Nimbus_Fall_2017,3.804435451,Chips,206.041,Tidal Delta,2017,83,6.7,13.5,3,hatchery,Fall,SacR
22,ARF2017-075,Nimbus_Fall_2017,6.008985463,Chips,206.041,Tidal Delta,2017,89,8,13.5,3,hatchery,Fall,SacR
23,ARF2017-079,Nimbus_Fall_2017,3.807415139,Chips,206.041,Tidal Delta,2017,88,7.3,13.5,3,hatchery,Fall,SacRSlough
24,ARF2017-081,Nimbus_Fall_2017,5.960663924,Chips,206.041,Tidal Delta,2017,84,6.5,13.5,3,hatchery,Fall,SacR
25,ARF2017-101,Nimbus_Fall_2017,3.992796748,Chips,206.041,Tidal Delta,2017,83,6.4,13.5,3,hatchery,Fall,SacR
26,ARF2017-105,Nimbus_Fall_2017,4.841694317,Chips,206.041,Tidal Delta,2017,83,7.1,13.5,3,hatchery,Fall,SacRSlough
27,ARF2017-108,Nimbus_Fall_2017,6.023383889,Chips,206.041,Tidal Delta,2017,85,7.3,13.5,3,hatchery,Fall,SacR
28,ARF2017-114,Nimbus_Fall_2017,2.849910081,Chips,206.041,Tidal Delta,2017,82,6.5,13.5,3,hatchery,Fall,SacR
29,ARF2017-115,Nimbus_Fall_2017,3.937599178,Chips,206.041,Tidal Delta,2017,85,6.3,13.5,3,hatchery,Fall,SacR
30,ARF2017-117,Nimbus_Fall_2017,3.841000856,Chips,206.041,Tidal Delta,2017,90,8,13.5,3,hatchery,Fall,SacRSlough
31,ARF2017-118,Nimbus_Fall_2017,5.005969664,Chips,206.041,Tidal Delta,2017,83,7.5,13.5,3,hatchery,Fall,SacR
32,ARF2017-121,Nimbus_Fall_2017,3.83485772,Chips,206.041,Tidal Delta,2017,90,7.8,13.5,3,hatchery,Fall,SacR
33,ARF2017-130,Nimbus_Fall_2017,4.894428958,Chips,206.041,Tidal Delta,2017,85,6.5,13.5,3,hatchery,Fall,SacR
34,ARF2017-135,Nimbus_Fall_2017,5.987220926,Chips,206.041,Tidal Delta,2017,83,6.2,13.5,3,hatchery,Fall,SacR
35,ARF2017-136,Nimbus_Fall_2017,3.411964491,Chips,206.041,Tidal Delta,2017,84,6.6,13.5,3,hatchery,Fall,SacR
36,ARF2017-139,Nimbus_Fall_2017,4.399790486,Chips,206.041,Tidal Delta,2017,83,6.8,13.5,3,hatchery,Fall,SacR
37,ARF2017-152,Nimbus_Fall_2017,3.741574097,Chips,206.041,Tidal Delta,2017,84,7,13.99346405,3,hatchery,Fall,SacR
38,ARF2017-157,Nimbus_Fall_2017,3.137971806,Chips,206.041,Tidal Delta,2017,83,6.4,13.99346405,3,hatchery,Fall,SacR
39,ARF2017-159,Nimbus_Fall_2017,4.702446644,Chips,206.041,Tidal Delta,2017,85,6.8,13.99346405,3,hatchery,Fall,SacRSlough
40,ARF2017-170,Nimbus_Fall_2017,3.690511956,Chips,206.041,Tidal Delta,2017,84,7.3,13.99346405,3,hatchery,Fall,SacR
41,ARF2017-173,Nimbus_Fall_2017,3.118376042,Chips,206.041,Tidal Delta,2017,87,7.5,13.99346405,3,hatchery,Fall,SacR
