"FishID","2009-12-15","2009-12-16","2009-12-17","2009-12-18","2009-12-19","2009-12-20","2009-12-21","2009-12-22","2009-12-23","2009-12-24","2009-12-25","2009-12-26","2009-12-27","2009-12-28","2009-12-29","2009-12-30","2009-12-31","2010-01-01","2010-01-02","2010-01-03","2010-01-04","2010-01-05","2010-01-06","2010-01-07","2010-01-08","2010-01-09","2010-01-10","2010-01-11","2010-01-12","2010-01-13","2010-01-14","2010-01-15","2010-01-16","2010-01-17","2010-01-18","2010-01-19","2010-01-20","2010-01-21","2010-01-22","2010-01-23","2010-01-24","2010-01-25","2010-01-26","2010-01-27","2010-01-28","2010-01-29","2010-01-30","2010-01-31","2010-02-01","2010-02-02","2010-02-03","2010-02-04","2010-02-05","2010-02-06","2010-02-07","2010-02-08","2010-02-09","2010-02-10","2010-02-11","2010-02-12","2010-02-13","2010-02-14","2010-02-15","2010-02-16","2010-02-17","2010-02-18","2010-02-19","2010-02-20","2010-02-21","2010-02-22","2010-02-23","2010-02-24","2010-02-25","2010-02-26","2010-02-27","2010-02-28","2010-03-01","2010-03-02","2010-03-03","2010-03-04","2010-03-05","2010-03-06","2010-03-07","2010-03-08","2010-03-09","2010-03-10","2010-03-11","2010-03-12","2010-03-13","2010-03-14","2010-03-15","2010-03-16","2010-03-17","2010-03-18","2010-03-19","2010-03-20","2010-03-21","2010-03-22","2010-03-23","2010-03-24","2010-03-25","2010-03-26","2010-03-27","2010-03-28","2010-03-29","2010-03-30","2010-03-31","2010-04-01","2010-04-02","2010-04-03","2010-04-04","2010-04-05","2010-04-06","2010-04-07","2010-04-08","2010-04-09","2010-04-10","2010-04-11","2010-04-12","2010-04-13","2010-04-14"
"LFC3171",14043.37,17735.39,30305.16,13421.78,5213.4125,5213.4125,5213.4125,5213.4125,9604.23,3268.596,3268.596,3268.596,3268.596,3268.596,3268.596,3268.596,3268.596,3268.596,3268.596,31434.87,23053.14,38000.4,66925.33,19002.29,985.9125,985.9125,985.9125,985.9125,8377.772,8377.772,8377.772,8377.772,8377.772,46215.44,15489.8,3911.03285714286,3911.03285714286,3911.03285714286,3911.03285714286,3911.03285714286,3911.03285714286,3911.03285714286,12092.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFC3172",78.34,43468.54,32115.5,6091.576,6091.576,6091.576,6091.576,6091.576,50080.93,14039.9,39671.14,21382.4,7230.335,7230.335,7230.335,7230.335,57265.52,18704.86,12668.41,10515.59,32979,17494.33,13812.75,2120.89090909091,2120.89090909091,2120.89090909091,2120.89090909091,2120.89090909091,2120.89090909091,2120.89090909091,2120.89090909091,2120.89090909091,2120.89090909091,2120.89090909091,8828.03,8211.71,8211.71,1471.34,1471.34,1471.34,13242.05,1103.505,1103.505,1103.505,1103.505,17129.895,17129.895,12409.5766666667,12409.5766666667,12409.5766666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFC3174",14043.37,61462.32,80538.81,75093.44,63240.93,18980.06,41888.86,27495.17,18720.28,21707.17,13554.99,12092.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFC3178",14043.37,61462.32,63143.84,31434.87,13223.7133333333,13223.7133333333,13223.7133333333,50303.74,60949.92,38146.95,27729.07,28909.98,1462.2,111002.06,24972.07,20584.36,1609.51,3219.02,18614.365,18614.365,7123.842,7123.842,7123.842,7123.842,7123.842,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375,371.0334375
"LFC3183",7426.84,54657.07,34275.43,9604.23,11519.75,11519.75,9646.47,17394.96,14039.9,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,6348.35956521739,41888.86,46215.44,15489.8,13554.99,12092.29,18974.85,37228.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFC3190",14043.37,61462.32,30457.88,7154.41857142857,7154.41857142857,7154.41857142857,7154.41857142857,7154.41857142857,7154.41857142857,7154.41857142857,14039.9,6783.72666666667,6783.72666666667,6783.72666666667,6783.72666666667,6783.72666666667,6783.72666666667,6783.72666666667,6783.72666666667,6783.72666666667,54753.94,36345.46,18704.86,6334.205,6334.205,1502.22714285714,1502.22714285714,1502.22714285714,1502.22714285714,1502.22714285714,1502.22714285714,1502.22714285714,28639.9,14442.76,3132.78,11075.78,6312.865,6312.865,6217.37,3108.68,26605.34,7642.47,7642.47,11320.39,5660.195,5660.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFC3193",14043.37,29346.82,2077.08,2077.08,2077.08,2077.08,2077.08,2077.08,2077.08,2077.08,2077.08,13421.78,20853.65,9604.23,32685.96,17394.96,14039.9,132739.68,62178.05,36634.54,5254.33,31998.1,27761,1554.34,1554.34,11320.39,15284.94,18974.85,18974.85,9487.425,9487.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFC3207",814.51,37093.05,66921.74,62178.05,67445.32,33664.32,18386.76,11320.39,34259.79,4828.53,35619.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFC3208",814.51,7019.95,7019.95,4610.628,4610.628,4610.628,4610.628,4610.628,66921.74,40298.21,18195.45,18704.86,26023.61,14703.12,7951.14,19191.3,20030.12,17537.76,7495.762,7495.762,7495.762,7495.762,7495.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFC3215",NA,814.51,14039.9,7684.38,7684.38,7684.38,38000.4,59103.36,6593.84,1253.03416666667,1253.03416666667,1253.03416666667,1253.03416666667,1253.03416666667,1253.03416666667,1253.03416666667,1253.03416666667,1253.03416666667,1253.03416666667,1253.03416666667,1253.03416666667,35316.92,10515.59,27495.17,14269.02,14217.35,7278.09,12434.73,16900.22,10421.78,10421.78,13554.99,3056.988,3056.988,3056.988,3056.988,3056.988,11901.69,11901.69,1609.51,18974.85,6861.45333333333,6861.45333333333,6861.45333333333,3219.02,3219.02,1609.51,1609.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
