"","FishID","sac_mean","sac_sd","max_inun","sum_inun","temp_mean","temp_sd","stage_mean","stage_sd","TagID","travel_time","Release_Group_SAIL","Year","Group","origin","Route","TagType","tt.grp","SD","rel","end","PDO"
"1","1.MJ",26392.3076923077,6404.35548910031,0,0,13.2604071652985,0.572519995854109,4.49387820512821,0.282163146462308,2051,11.7708796296296,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","Chips",8811.23572500509,"2012-03-30","2012-04-11",-1.335
"2","1.YBUS",18657.1428571429,1263.40432015665,0,0,13.1011904761905,0.265205570659817,4.49172619047619,0.0696450277778671,36186,6.54784722222222,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",10628.3032512482,"2016-02-21","2016-02-27",1.29
"3","10.MJ",30737.5,3518.4970411486,0,0,12.8786458333333,0.240364281038619,4.42385416666667,0.28114779889131,2067,6.68800925925926,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","Chips",8100.29194213452,"2012-03-30","2012-04-06",-1.335
"4","10.YBUS",25063.1578947368,16297.8257079593,0,0,13.5232456140351,0.713317588889119,4.70289473684211,0.41985383979636,36367,17.5514699074074,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",8970.87588085139,"2016-02-21","2016-03-10",1.42
"5","100.YBUS",56562.5,17494.4838245006,2,2,12.9285037878788,1.20238005679593,5.43665205039526,0.271869169642727,38784,6.91858796296296,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacRSlough","Vemco","Chips",19272.218746628,"2016-03-06","2016-03-13",1.55
"6","101.YBUS",65757.1428571429,17060.3325013009,8,8,12.9981331168831,1.06599355392843,5.45055453604367,0.234594292886808,38788,12.9833449074074,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",7789.82782383373,"2016-03-06","2016-03-19",1.55
"7","102.YBUS",48100,16687.2705976741,0,0,13.5691666666667,1.06995180966247,5.27341666666667,0.194864046267591,38789,4.66231481481482,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacRSlough","Vemco","Chips",22582.3346150158,"2016-03-06","2016-03-10",1.55
"8","103.YBUS",48100,16687.2705976741,0,0,13.5691666666667,1.06995180966247,5.27341666666667,0.194864046267591,38791,4.16594907407407,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",25829.2046799298,"2016-03-06","2016-03-10",1.55
"9","104.YBUS",48100,16687.2705976741,0,0,13.5691666666667,1.06995180966247,5.27341666666667,0.194864046267591,38792,4.06575231481481,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",26476.0620141295,"2016-03-06","2016-03-10",1.55
"10","105.YBUS",53642.8571428571,16658.517055134,1,1,13.1059523809524,1.18016216601584,5.39078416149068,0.258061225549316,38793,6.70434027777778,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",28754.9239815257,"2016-03-06","2016-03-12",1.55
"11","106.YBUS",48100,16687.2705976741,0,0,13.5691666666667,1.06995180966247,5.27341666666667,0.194864046267591,38795,4.64451388888889,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",23854.7803844195,"2016-03-06","2016-03-10",1.55
"12","107.YBUS",48100,16687.2705976741,0,0,13.5691666666667,1.06995180966247,5.27341666666667,0.194864046267591,38796,4.14418981481481,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",26628.4310923004,"2016-03-06","2016-03-10",1.55
"13","108.YBUS",48100,16687.2705976741,0,0,13.5691666666667,1.06995180966247,5.27341666666667,0.194864046267591,38798,4.1191087962963,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",24155.2503085992,"2016-03-06","2016-03-10",1.55
"14","109.YBUS",59266.6666666667,18265.0622774739,3,3,12.8123737373737,1.17744586862019,5.44243467281511,0.254901330371975,38799,8.21678240740741,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacRSlough","Vemco","Chips",13751.8476424737,"2016-03-06","2016-03-14",1.55
"15","11.MJ",31657.1428571429,2559.20374521526,0,0,12.8488095238095,0.243095801656623,4.46428571428571,0.277418105438105,2070,6.04434027777778,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","Chips",7305.74911983061,"2012-03-30","2012-04-05",-1.335
"16","11.YBUS",17660,1945.47908981024,0,0,13.1875,0.279335907793314,4.4055,0.157176794575683,36371,9.21305555555556,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",6081.53457905958,"2016-02-21","2016-03-01",1.42
"17","110.YBUS",50900,16425.9550711671,0,0,13.3166666666667,1.13946259262864,5.35147041062802,0.258712038569002,38815,5.16376157407407,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",22346.7450755248,"2016-03-06","2016-03-11",1.55
"18","111.YBUS",48100,16687.2705976741,0,0,13.5691666666667,1.06995180966247,5.27341666666667,0.194864046267591,38823,4.65361111111111,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",23462.2771481212,"2016-03-06","2016-03-10",1.55
"19","112.YBUS",50900,16425.9550711671,0,0,13.3166666666667,1.13946259262864,5.35147041062802,0.258712038569002,38824,5.19991898148148,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacRSlough","Vemco","Chips",13536.3952768136,"2016-03-06","2016-03-11",1.55
"20","113.YBUS",48100,16687.2705976741,0,0,13.5691666666667,1.06995180966247,5.27341666666667,0.194864046267591,38826,4.63606481481481,"Middle Sacramento River",2016,"Late-Fall","hatchery","SacR","Vemco","Chips",21457.4786241538,"2016-03-06","2016-03-10",1.55
