"","FishID","2012-03-30","2012-03-31","2012-04-01","2012-04-02","2012-04-03","2012-04-04","2012-04-05","2012-04-06","2012-04-07","2012-04-08","2012-04-09","2012-04-10","2012-04-11","2012-04-12","2012-04-13","2012-04-14","2012-04-15","2012-04-16","2012-04-17"
"1","2051",NA,0,3244.8925,3244.8925,3244.8925,3244.8925,10846.7,28880.44,5000.03333333333,5000.03333333333,5000.03333333333,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125
"2","2055",NA,0,2595.914,2595.914,2595.914,2595.914,2595.914,25406.33,14320.8,3750.025,3750.025,3750.025,3750.025,15653.7633333333,15653.7633333333,15653.7633333333,NA,NA,NA
"3","2057",NA,12979.57,25406.33,6709.43666666667,6709.43666666667,6709.43666666667,46961.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2058",NA,0,12979.57,10846.7,14559.63,5032.0775,5032.0775,5032.0775,5032.0775,15000.1,5000.03333333333,5000.03333333333,5000.03333333333,15653.7633333333,15653.7633333333,15653.7633333333,NA,NA,NA
"5","2059",NA,0,4326.52333333333,4326.52333333333,4326.52333333333,10846.7,28880.44,15000.1,9392.258,9392.258,9392.258,9392.258,9392.258,NA,NA,NA,NA,NA,NA
"6","2063",NA,23826.27,28880.44,6312.01857142857,6312.01857142857,6312.01857142857,6312.01857142857,6312.01857142857,6312.01857142857,6312.01857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2064",NA,0,7942.09,7942.09,7942.09,14559.63,14320.8,7500.05,7500.05,11740.3225,11740.3225,11740.3225,11740.3225,NA,NA,NA,NA,NA,NA
"8","2065",0,46361.14,46361.14,46361.14,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,NA,NA,NA,NA,NA,NA,NA
"9","2066",NA,23826.27,14559.63,6709.43666666667,6709.43666666667,6709.43666666667,11740.3225,11740.3225,11740.3225,11740.3225,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2067",NA,0,12979.57,25406.33,6709.43666666667,6709.43666666667,6709.43666666667,15653.7633333333,15653.7633333333,15653.7633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2070",NA,23826.27,14559.63,10064.155,10064.155,15653.7633333333,15653.7633333333,15653.7633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2075",NA,12979.57,25406.33,14320.8,3000.02,3000.02,3000.02,3000.02,3000.02,9392.258,9392.258,9392.258,9392.258,9392.258,NA,NA,NA,NA,NA
"13","2076",NA,0,4765.254,4765.254,4765.254,4765.254,4765.254,28880.44,7500.05,7500.05,9392.258,9392.258,9392.258,9392.258,9392.258,NA,NA,NA,NA
"14","2078",0,36565.98,42050.225,42050.225,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,NA,NA,NA,NA,NA,NA,NA,NA
"15","2079",0,5377.78,5377.78,5107.89,5107.89,5198.21333333333,5198.21333333333,5198.21333333333,42050.225,42050.225,6400.264,6400.264,6400.264,6400.264,6400.264,NA,NA,NA,NA
"16","2080",0,10755.56,109910.87,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2081",0,63165.05,63165.05,7826.88166666667,7826.88166666667,7826.88166666667,7826.88166666667,7826.88166666667,7826.88166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2082",0,53551.05,33557.685,33557.685,4000.165,4000.165,4000.165,4000.165,4000.165,4000.165,4000.165,4000.165,NA,NA,NA,NA,NA,NA,NA
"19","2083",0,36565.98,72867.34,6305.43,6305.43,6305.43,6305.43,6305.43,6305.43,6305.43,6305.43,NA,NA,NA,NA,NA,NA,NA,NA
"20","2084",0,53551.05,33557.685,33557.685,8000.33,8000.33,8000.33,8000.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2085",0,10755.56,13738.85875,13738.85875,13738.85875,13738.85875,13738.85875,13738.85875,13738.85875,13738.85875,9208.5,9208.5,15653.7633333333,15653.7633333333,15653.7633333333,NA,NA,NA,NA
"22","2086",0,36565.98,72867.34,5604.82666666667,5604.82666666667,5604.82666666667,5604.82666666667,5604.82666666667,5604.82666666667,5604.82666666667,5604.82666666667,5604.82666666667,NA,NA,NA,NA,NA,NA,NA
"23","2087",0,36565.98,21918.26,21918.26,21918.26,1923.6575,1923.6575,1923.6575,1923.6575,1923.6575,1923.6575,1923.6575,1923.6575,10500.2333333333,10500.2333333333,10500.2333333333,NA,NA,NA
"24","2089",0,6094.33,6094.33,6094.33,6094.33,6094.33,6094.33,30338.235,30338.235,21029.53,16431.36,11740.3225,11740.3225,11740.3225,11740.3225,NA,NA,NA,NA
"25","2098",0,36565.98,5605.18,5605.18,5605.18,5605.18,5605.18,5605.18,5605.18,5605.18,5605.18,5605.18,5605.18,5605.18,5605.18,36859.12,23480.645,23480.645,NA
"26","2102",0,46361.14,46361.14,46361.14,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,NA,NA,NA,NA,NA,NA,NA
"27","2103",0,36565.98,60676.47,29087.65,11740.3225,11740.3225,11740.3225,11740.3225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2117",NA,23826.27,14559.63,14320.8,15000.1,15653.7633333333,15653.7633333333,15653.7633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2122",0,20971.34,15594.64,1544.09727272727,1544.09727272727,1544.09727272727,1544.09727272727,1544.09727272727,1544.09727272727,1544.09727272727,1544.09727272727,1544.09727272727,1544.09727272727,1544.09727272727,23914.9175,23914.9175,23914.9175,23914.9175,NA
"30","2123",0,53551.05,33557.685,33557.685,6400.264,6400.264,6400.264,6400.264,6400.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
