"","FishID","2013-03-06","2013-03-07","2013-03-08","2013-03-09","2013-03-10","2013-03-11","2013-03-12","2013-03-13","2013-03-14","2013-03-15","2013-03-16","2013-03-17","2013-03-18","2013-03-19","2013-03-20","2013-03-21","2013-03-22","2013-03-23","2013-03-24","2013-03-25","2013-03-26","2013-03-27","2013-03-28","2013-03-29","2013-03-30","2013-03-31","2013-04-01","2013-04-02"
"1","4764",0,6714.96,139.744615384615,139.744615384615,139.744615384615,139.744615384615,139.744615384615,139.744615384615,139.744615384615,139.744615384615,139.744615384615,139.744615384615,139.744615384615,139.744615384615,139.744615384615,10209.08,243318.42,21911.83,47313.92,10667.1066666667,10667.1066666667,10667.1066666667,NA,NA,NA,NA,NA,NA
"2","4842",0,12979.57,5423.35,5423.35,3639.9075,3639.9075,3639.9075,3639.9075,14320.8,7500.05,7500.05,65836.56,6169.14333333333,6169.14333333333,6169.14333333333,6169.14333333333,6169.14333333333,6169.14333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","4843",0,1622.44625,1622.44625,1622.44625,1622.44625,1622.44625,1622.44625,1622.44625,1622.44625,10846.7,28880.44,7500.05,7500.05,43891.04,5486.38,5486.38,5486.38,5486.38,5486.38,5486.38,5486.38,5486.38,9392.258,9392.258,9392.258,9392.258,9392.258,NA
"4","4844",0,23826.27,14559.63,7160.4,7160.4,124727.7,9253.715,9253.715,9253.715,9253.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","4858",0,6489.785,6489.785,2711.675,2711.675,2711.675,2711.675,14559.63,14320.8,36945.62,21945.52,109727.6,12338.2866666667,12338.2866666667,12338.2866666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","4861",0,6489.785,6489.785,5423.35,5423.35,14559.63,14320.8,36945.62,43891.04,131673.12,37014.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","5782",0,8531.64,768.361428571429,768.361428571429,768.361428571429,768.361428571429,768.361428571429,768.361428571429,768.361428571429,2664.87,23844.82,111625.605,111625.605,21911.83,35807.72,4203.62,4203.62,4203.62,4203.62,4203.62,4203.62,4203.62,4203.62,4203.62,4203.62,4203.62,4203.62,NA
"8","5784",0,38807.92,223251.21,3973.03636363636,3973.03636363636,3973.03636363636,3973.03636363636,3973.03636363636,3973.03636363636,3973.03636363636,3973.03636363636,3973.03636363636,3973.03636363636,3973.03636363636,15629.9866666667,15629.9866666667,15629.9866666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","5788",0,29335.95,789.330833333333,789.330833333333,789.330833333333,789.330833333333,789.330833333333,789.330833333333,789.330833333333,789.330833333333,789.330833333333,789.330833333333,789.330833333333,789.330833333333,223251.21,43141.44,23444.98,23444.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","5797",0,13104.2,309.816666666667,309.816666666667,309.816666666667,309.816666666667,309.816666666667,309.816666666667,18136.9,5707.93,111625.605,111625.605,19031.565,19031.565,59406.41,18507.43,18507.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","5798",0,29335.95,9471.97,22325.121,22325.121,22325.121,22325.121,22325.121,22325.121,22325.121,22325.121,22325.121,22325.121,21911.83,21229.62,23444.98,23444.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","5800",0,29335.95,418.226666666667,418.226666666667,418.226666666667,418.226666666667,418.226666666667,418.226666666667,418.226666666667,418.226666666667,418.226666666667,5707.93,40636.6466666667,40636.6466666667,40636.6466666667,101341.27,21911.83,47313.92,10667.1066666667,10667.1066666667,10667.1066666667,NA,NA,NA,NA,NA,NA,NA
"13","5808",0,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,831.283333333333,269007.86,27247.05,20066.86,32001.32,NA,NA,NA,NA,NA
"14","5809",0,33099.99,127617.87,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,38063.13,5640.27,23444.98,23444.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5811",0,29335.95,232723.18,21911.83,8075.655,8075.655,29087.65,43891.04,21945.52,18507.43,18507.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","5814",0,14963.1,18136.9,228959.14,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,1565.13071428571,27247.05,68899.94,30416.08,46961.29,NA,NA,NA,NA,NA,NA
"17","5815",0,38807.92,223251.21,3816.03461538462,3816.03461538462,3816.03461538462,3816.03461538462,3816.03461538462,3816.03461538462,3816.03461538462,3816.03461538462,3816.03461538462,3816.03461538462,3816.03461538462,3816.03461538462,3816.03461538462,20066.86,16000.66,16000.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","5824",0,29335.95,131381.91,24650.62,24650.62,24650.62,24650.62,24650.62,16151.31,51033.17,21945.52,21945.52,12338.2866666667,12338.2866666667,12338.2866666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","5826",0,38807.92,223251.21,1825.98583333333,1825.98583333333,1825.98583333333,1825.98583333333,1825.98583333333,1825.98583333333,1825.98583333333,1825.98583333333,1825.98583333333,1825.98583333333,1825.98583333333,1825.98583333333,47313.92,10667.1066666667,10667.1066666667,10667.1066666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","5828",0,38807.92,245163.04,27247.05,38483.86,21945.52,18507.43,18507.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","5848",6714.96,26385.03,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,356.745625,245163.04,27247.05,20066.86,16000.66,16000.66,NA,NA,NA,NA,NA
"22","5850",0,8531.64,1458.44,1458.44,1458.44,1458.44,1458.44,1458.44,1458.44,243318.42,21911.83,27247.05,20066.86,8000.33,8000.33,8000.33,8000.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","5853",0,33099.99,5707.93,20318.3233333333,20318.3233333333,20318.3233333333,20318.3233333333,20318.3233333333,20318.3233333333,33780.4233333333,33780.4233333333,33780.4233333333,10955.915,10955.915,47313.92,16000.66,16000.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
